Category,Factors,Score G1,Score G2,Score G3,Score G4,Score G5,Score G6,Score G7,Score G8,Score G9,Err Low G1,Err Low G2,Err Low G3,Err Low G4,Err Low G5,Err Low G6,Err Low G7,Err Low G8,Err Low G9,Err High G1,Err High G2,Err High G3,Err High G4,Err High G5,Err High G6,Err High G7,Err High G8,Err High G9
Often Watch Television,1,-0.00025532308566404206,-0.0005698607947952471,-0.00033941275250607393,-0.006987881555948726,-0.00020770722116699412,0.0038668042012758646,0.0022904421368150035,0.005887732227995671,-0.002440685190884778,-0.001457356716295678,-0.0016542747011883583,-0.0014660229014998617,-0.008235924957172982,-0.001817770979215885,0.0022258828775393808,0.0004426124834700821,0.004522195905192917,-0.0045211339725660365,0.000946710544967594,0.000514553111597864,0.0007871973964877138,-0.00573983815472447,0.0014023565368818968,0.0055077255250123485,0.004138271790159925,0.0072532685507984244,-0.0003602364092035199
Often Do Word Games,0,0.06799760029045512,0.09783172840806541,0.00046400541858601825,0.01400378178290682,-0.038686570068335355,-0.010828462550609692,0.003093514191657484,-0.07786119211597842,-0.11008227218475419,0.0615804537565962,0.08621189672672304,-0.01005921826683057,0.0026153687932654324,-0.04699732985928544,-0.017362042551457738,-0.004093728745439345,-0.08657728466225584,-0.12832533977170507,0.07441474682431404,0.10945156008940778,0.010987229104002606,0.02539219477254821,-0.030375810277385274,-0.004294882549761645,0.010280757128754313,-0.069145099569701,-0.09183920459780331
Often Do Word Games,1,-0.10764605268533474,-0.1548760448240442,-0.0007345605068713375,-0.0221691916355513,0.06124416952954574,0.01714238804376935,-0.004897299172846492,0.12326096734087386,0.17426970982363904,-0.12058574709631305,-0.17745407996883353,-0.017875804733730485,-0.04091072115306878,0.04917686627938668,0.007800100676669653,-0.015990505831855774,0.11364525042974331,0.1546819151406458,-0.09470635827435643,-0.1322980096792549,0.016406683719987807,-0.0034276621180338203,0.0733114727797048,0.026484675410869046,0.0061959074861627885,0.13287668425200438,0.19385750450663228
Often Play Cards And Games,0,0.015140489892269213,-0.013912561581126122,-0.002028978777622453,0.023358747027153896,0.0032245394099572177,-0.009391278223414703,0.03242236134967649,-0.02834114305184775,-0.017921484733903034,0.011483740591934273,-0.019299687786813742,-0.007747618874272683,0.018621403548873657,-0.0013944371783992634,-0.01205827844511003,0.024566703778764104,-0.032811753038866506,-0.027030201637758815,0.01879723919260415,-0.008525435375438503,0.003689661319027777,0.028096090505434136,0.007843515998313698,-0.006724278001719374,0.04027801892058888,-0.023870533064828992,-0.008812767830047252
Often Play Cards And Games,1,-0.06093337129803583,0.055991535713940485,0.008165688038656596,-0.0940080021049527,-0.012977258895195782,0.03779549057013508,-0.13048479914032862,0.11405980948283315,0.07212557131725188,-0.07799098007580701,0.033216991868588765,-0.015172729170254053,-0.11559412211000371,-0.03176422542292453,0.0281984430846731,-0.1640926859507501,0.0997526221929462,0.040959544370774474,-0.04387576252026465,0.07876607955929221,0.03150410524756725,-0.0724218820999017,0.005809707632532966,0.04739253805559706,-0.09687691232990714,0.1283669967727201,0.10329159826372927
Often Do Writing,0,0.017064389216914496,0.0056991658340164175,0.014498583022641422,0.015461970565526386,-0.0025676518248505305,-0.00369419486647264,0.009942545703029998,-0.009748114775919307,-0.06488801440487857,0.013908325081760247,0.0017427545752801525,0.011668870861537393,0.01249720974736214,-0.007472389145712973,-0.007088034075599521,0.0045963623135118255,-0.01409805699411458,-0.07845455161787389,0.020220453352068745,0.009655577092752683,0.017328295183745453,0.018426731383690633,0.002337085496011912,-0.00030035565734575984,0.01528872909254817,-0.0053981725577240324,-0.05132147719188325
Often Do Writing,1,-0.09483429864240053,-0.03167276530354509,-0.08057498775859669,-0.08592895506378223,0.014269567862775733,0.020530261866216128,-0.055255089208364444,0.05417455123114477,0.360611168566472,-0.11910927587371976,-0.05814056884845748,-0.09934847067047341,-0.10499633769671839,-0.012634347778865539,0.002935743414885259,-0.08413038170452952,0.03414643191903735,0.3192354637096411,-0.0705593214110813,-0.005204961758632699,-0.061801504846719965,-0.06686157243084608,0.041173483504417005,0.038124780317547,-0.026379796712199373,0.07420267054325219,0.4019868734233029
Often Use Computer,0,0.32641671536249656,0.2071317416382569,0.11925832730540864,-0.050462468707071065,-0.03770135969508238,-0.10899856134474713,-0.14705469590570872,-0.26027603078740896,-0.2937261997881297,0.3016674899466463,0.19334781365671924,0.09698357738583202,-0.059824558178904017,-0.049404425040801586,-0.12525336190904945,-0.1702497379520106,-0.30457541107200337,-0.34134962062195384,0.35116594077834684,0.22091566961979456,0.14153307722498526,-0.04110037923523811,-0.02599829434936317,-0.0927437607804448,-0.12385965385940685,-0.21597665050281456,-0.24610277895430557
Often Use Computer,1,-0.216105004395123,-0.13713208861683163,-0.07895527444992925,0.03340880386477688,0.02496027966447697,0.07216277068504261,0.09735792993852888,0.17231639842584065,0.1944621666377737,-0.2491263912586159,-0.1516887541250201,-0.09762100585550429,0.027505393155134634,0.01799787096532289,0.06345621570979285,0.08521686763920516,0.15494435268271065,0.17976088643988508,-0.1830836175316301,-0.12257542310864315,-0.060289543044354216,0.039312214574419135,0.03192268836363105,0.08086932566029237,0.10949899223785259,0.18968844416897065,0.2091634468356623
Often Maintenance/Gardening,0,0.07842851418659708,0.01032831705520675,-0.018350067976974256,-0.003624106561572853,-0.010737183912900634,-0.029087754549163413,-0.01360528720459538,0.007263705898004027,-0.03243770080881209,0.0712557192390741,0.005228144985174848,-0.028980853423642264,-0.015789419963048945,-0.018631389094157694,-0.041479634340874844,-0.022323783554983608,-0.002193541880397551,-0.04523268265238945,0.08560130913412005,0.015428489125238653,-0.007719282530306248,0.008541206839903238,-0.002842978731643575,-0.016695874757451983,-0.004886790854207151,0.016720953676405605,-0.019642718965234722
Often Maintenance/Gardening,1,-0.06262938167999951,-0.008247715995531838,0.01465351502706725,0.0028940437728262555,0.008574218145322512,0.02322813457283401,0.010864552695405195,-0.00580045935863338,0.025903246616954288,-0.07064756060946147,-0.012887333155048444,0.006393802839097993,-0.006904466500690544,0.002203323662722808,0.014310747219519474,0.004630865167562079,-0.01244680770160102,0.01756691493422247,-0.05461120275053755,-0.0036080988360152333,0.022913227215036507,0.012692554046343054,0.014945112627922218,0.03214552192614854,0.01709824022324831,0.0008458889843342594,0.0342395782996861
Often Bake Or Cook,0,0.023267883530881026,0.0009731073626443563,0.02318198193020145,0.014338679145654083,0.011109862155915085,-0.0037654086984716542,-0.06138756882464172,-0.02633091100497527,0.030843498185447765,0.014272715950295866,-0.007939684382001906,0.009832873120105935,0.0059818944536578125,0.005238569412218411,-0.014439111833623345,-0.07911996693118871,-0.03277578763919559,0.018735602640355592,0.032263051111466184,0.00988589910729062,0.036531090740296965,0.02269546383765035,0.01698115489961176,0.006908294436680037,-0.04365517071809473,-0.01988603437075494,0.04295139373053994
Often Bake Or Cook,1,-0.03552657978880529,-0.0014857894709751282,-0.035395420886171154,-0.021893019537341213,-0.01696309867637543,0.005749216184023484,0.09372964064372,0.04020336484359069,-0.047093410872410806,-0.052794438369611014,-0.016470991660756978,-0.05697947205862723,-0.03524301500452759,-0.026163220601459102,-0.009468090000934112,0.07235176579764947,0.03188996264454118,-0.06351507794819597,-0.01825872120799956,0.013499412718806721,-0.013811369713715077,-0.008543024070154838,-0.007762976751291759,0.02096652236898108,0.11510751548979052,0.0485167670426402,-0.03067174379662564
Often Sew Or Knit,0,0.0064888121749137675,0.01871612420010834,-0.002807310375310337,0.013997483298686093,-0.002364274924656562,-0.0048730684165995365,-0.00937646953351612,-0.009772413269074421,-0.005936014567542062,0.004648688380622939,0.017114645463834732,-0.004638790789853619,0.010659601250230487,-0.0038092746967106025,-0.008059005306549972,-0.011787431364099791,-0.01191183201284452,-0.009550683892294338,0.008328935969204596,0.020317602936381948,-0.0009758299607670546,0.0173353653471417,-0.0009192751526025211,-0.0016871315266491003,-0.006965507702932449,-0.007632994525304323,-0.002321345242789785
